part,blockNum,targetName,targetFile,foilFile,whenTargetName,isMask,whenMask,picDurationType,picDurationSec,targetPos,picFile1,picFile2,picFile3,picFile4,picFile5,picFile6,isTargetPresent,whichTarget
practice,-1,hourglass,hourglass1,hourglass2,before,1,before,long,0.083,5,26467443.thl,sportsillustrated,saltpeppershakerjpg,marshmallows,hourglass1,AWEIGHT11,1,right
practice,-1,remote,remote2,remote1,before,0,before,long,0.083,2,ASPRITZER,remote2,8024092.thl,ALIQBOOK,ASALAMI,22875384.thl,1,right
practice,-1,notebook,notebook1,notebook2,before,0,before,long,0.083,4,26391514.thl,AMODELSA4,22824840.thl,notebook1,Abird5,ADRIARRA2,1,left
practice,-1,cheese and crackers,cheeseandcrackers2,cheeseandcrackers1,before,0,before,long,0.083,2,Atoyparrot2,cheeseandcrackers2,Acleaningpro6,26463767.thl,Atoycoffeepo2,Aboot9,1,left
practice,-1,scanner,scanner1,scanner2,before,1,before,long,0.083,2,Aantiquesofa4,scanner1,26439898.thl,Aconferencer3,snail,Akitchensinka,1,right
practice,-1,bell,bell2,bell1,before,1,before,long,0.083,2,AROCKET20,bell2,26427983.thl,8026084.thl,22949719.thl,045,1,right
test,0,glass,NA,NA,before,1,before,long,0.083,-1,AMILPHONE,pencil-a,AHEADSET,26421536.thl,gumballmachine,AROBES4,0,NA
test,0,poker chips,pokerchips2,pokerchips1,before,1,before,long,0.083,2,AFIREPANT,pokerchips2,Adryflo15,matchbook,AWASHRACK,APLAQUE,1,left
test,0,watch,watch2,watch1,before,0,before,long,0.083,2,26374798.thl,watch2,9816397.thl,Aflask19,DSCN1248-sm,ATRUNK15,1,right
test,0,animal skull,animalskull2,animalskull1,before,1,before,long,0.083,5,AGLASSCAS,ASAFE,Atintelephone,Abugle12,animalskull2,Aframe196,1,right
test,0,gift box,giftbox2,giftbox1,before,0,before,long,0.083,4,APOTPBAG2,moistureproduct,ACEILHOOK,giftbox2,Aantiquevege3,AGARDHOSE,1,left
test,0,plant,plant1,plant2,before,1,before,long,0.083,3,26384637.thl,Aplastictestt,plant1,Abeetle10,Achickendinne,22827540.thl,1,left
test,0,chip,NA,NA,before,1,before,long,0.083,-1,26389125.thl,Akangarooandb,ATAPEDIS7,ACUSHIO60,ABOY,Aleaf75,0,NA
test,0,icecream,icecream1,icecream2,before,1,before,long,0.083,3,AGLASSCAS,frog-a,icecream1,Abicyclepump2,Apulley71,Acrackersandc,1,left
test,0,key,NA,NA,before,0,before,long,0.083,-1,26772987.thl,22825932.thl,Acanister10,Heatpad,ATOOTHBR3,AGHOST,0,NA
test,0,donut,donut2,donut1,before,1,before,long,0.083,4,26377601.thl,oilbottleolive,B_makeupbag,donut2,Aclock285,26377631.thl,1,right
test,0,chair,NA,NA,before,0,before,long,0.083,-1,26440073.thl,ABABYDOLL,makeupfoundation,Aradio24,Apaintedwood3,AROUNDFR3,0,NA
test,0,chapstick,chapstick2,chapstick1,before,1,before,long,0.083,5,22825932.thl,AHEADLI18,ABABYCUP3,34936916.thl,chapstick2,Aeggcup224,1,left
test,0,phone,phone1,phone2,before,0,before,long,0.083,5,ABABYSPOO,AICEAXE2,ringbox03,Achair618,phone1,ASNOWSH11,1,right
