part,blockNum,targetName,targetFile,foilFile,whenTargetName,isMask,whenMask,picDurationType,picDurationSec,targetPos,picFile1,picFile2,picFile3,picFile4,picFile5,picFile6,isTargetPresent,whichTarget
practice,-1,glass,glass2,glass1,before,1,before,long,0.083,4,22827408.thl,APLAQUE,Aegyptianst20,glass2,ACANE2,Afrenchtoast5,1,right
practice,-1,pencil sharpener,pencilsharpener2,pencilsharpener1,before,1,before,long,0.083,4,AWEIGHT11,AGONG12,26374798.thl,pencilsharpener2,zip-a,ACEREAL,1,left
practice,-1,can opener,canopener1,canopener2,before,0,before,long,0.083,5,ABELL7,26554880.thl,26545643.thl,26374346.thl,canopener1,Acrib12,1,right
practice,-1,water bottle,waterbottle1,waterbottle2,before,0,before,long,0.083,2,shavingcream01,waterbottle1,ACHAIR,Abandleaders2,AASPHALT,Aleatherbeltp,1,right
practice,-1,park meter,parkmeter2,parkmeter1,before,0,before,long,0.083,2,ADRIARRA2,parkmeter2,Akeyboard3,APHARAOH,AHUNTVES2,Aleaf75,1,left
practice,-1,rake,rake1,rake2,before,1,before,long,0.083,5,ABROOCH41,AGHOST,AFIGHTP16,AFBLADE,rake1,tires,1,left
test,0,notebook,notebook1,notebook2,after,0,after,long,0.083,2,26391173.thl,notebook1,Asantaclaus2,AEXERCBIK,8255336.thl,Aantiquebuck2,1,right
test,0,headphones,NA,NA,after,0,after,long,0.083,-1,Asign7,AWINTGLO3,Atintelephone,APARKMET6,Aclamp42,AHONEYSTI,0,NA
test,0,microwave,NA,NA,after,1,after,long,0.083,-1,Ascarf3,AMICROWA2,26427111.thl,AMAILBO28,ACOLFILT5,Atool221,0,NA
test,0,bell,bell2,bell1,after,1,after,long,0.083,4,23048010.thl,Apokerchips3,AFIREPANT,bell2,AANTSTOV6,ACROWNPEN,1,left
test,0,menorah,menorah1,menorah2,after,1,after,long,0.083,3,AMAKEUPMI,AGERMANH4,menorah1,matchbook,26370445.thl,Abloodorange,1,right
test,0,balloon,balloon1,balloon2,after,0,after,long,0.083,5,26373195.thl,23048010.thl,Abreastpump2,bobbypins,balloon1,AHEATER,1,left
test,0,grapes,grape2,grape1,after,0,after,long,0.083,3,ACLAM,26439074.thl,grape2,ATELEBO13,batslcshi,APIESERVE,1,left
test,0,camera,NA,NA,after,0,after,long,0.083,-1,22921112.thl,Abeverageingl,31023139.thl,AHEADLIG9,matchbook,8258244.thl,0,NA
test,0,santa hat,santahat1,santahat2,after,1,after,long,0.083,4,Azebra8,ABARPEAR,26379570.thl,santahat1,ACAMPSTO7,ACAROUSE2,1,right
test,0,pliers,pliers2,pliers1,after,1,after,long,0.083,3,AWASHMAC5,ABABYCUP3,pliers2,AJEWELBO3,Abinder6,8255981.thl,1,left
test,0,chapstick,chapstick1,chapstick2,after,1,after,long,0.083,3,AARTOOTH2,Atropicalpine,chapstick1,26467443.thl,AOVENMIT5,26372690.thl,1,right
test,0,starfish,starfish1,starfish2,after,0,after,long,0.083,4,Atoychestfor3,railroadblock,A52ZX,starfish1,Areceptacle3,APOTPBAG2,1,left
test,0,cooking pot,cookingpot1,cookingpot2,after,0,after,long,0.083,4,makeupfoundation,ringbox03,snail,cookingpot1,ACPU2,26428576.thl,1,left
